pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 33, 'data3': 0, 'timestamp': 5483, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 0, 'data2': 0, 'data3': 0, 'timestamp': 5483, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 0, 'data2': 64, 'data3': 0, 'timestamp': 5483, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 150, 'data1': 76, 'data2': 81, 'data3': 0, 'timestamp': 5483, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 13, 'data2': 64, 'data3': 0, 'timestamp': 5504, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 0, 'data2': 64, 'data3': 0, 'timestamp': 5505, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 3, 'data2': 0, 'data3': 0, 'timestamp': 5513, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 5, 'data2': 0, 'data3': 0, 'timestamp': 5514, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 7, 'data2': 0, 'data3': 0, 'timestamp': 5515, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 34, 'data3': 0, 'timestamp': 5515, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 9, 'data2': 0, 'data3': 0, 'timestamp': 5516, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 11, 'data2': 0, 'data3': 0, 'timestamp': 5517, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 13, 'data2': 0, 'data3': 0, 'timestamp': 5518, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 14, 'data2': 0, 'data3': 0, 'timestamp': 5519, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 0, 'data2': 64, 'data3': 0, 'timestamp': 5519, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 16, 'data2': 0, 'data3': 0, 'timestamp': 5520, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 18, 'data2': 0, 'data3': 0, 'timestamp': 5521, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 19, 'data2': 0, 'data3': 0, 'timestamp': 5523, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 21, 'data2': 0, 'data3': 0, 'timestamp': 5523, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 22, 'data2': 0, 'data3': 0, 'timestamp': 5524, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 126, 'data2': 63, 'data3': 0, 'timestamp': 5524, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 23, 'data2': 0, 'data3': 0, 'timestamp': 5525, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 123, 'data2': 63, 'data3': 0, 'timestamp': 5525, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 24, 'data2': 0, 'data3': 0, 'timestamp': 5526, 'vice_id': 0})>
